;SITIO;FECHA;HORA;playlist ;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11
52;3;8/04/2024;10:20:00 pm;38;RUI; SIL; RUI; SIL;DIS ; SIL;DIS; SIL; RES; SIL; RES
53;3;8/04/2024;10:40:00 pm;39;RES; SIL; RUI ; SIL ;RES; SIL; DIS; SIL; RUI; SIL; DIS
54;1;9/04/2024;8:00:00 pm;40;RUI; SIL; RUI; SIL;DIS ; SIL;DIS; SIL; RES; SIL; RES
55;1;9/04/2024;8:20:00 pm;41;RES; SIL; RUI ; SIL ;RES; SIL; DIS; SIL; RUI; SIL; DIS
56;1;9/04/2024;8:40:00 pm;42;DIS; SIL; RUI; SIL; RES; SIL; RES; SIL; DIS;  SIL; RUI
57;1;9/04/2024;9:00:00 pm;43;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
58;1;9/04/2024;9:20:00 pm;44;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
59;1;9/04/2024;9:40:00 pm;45;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
60;1;9/04/2024;10:00:00 pm;46;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
61;1;9/04/2024;10:20:00 pm;47;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
62;1;9/04/2024;10:40:00 pm;48;RUI; SIL; RES; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
63;2;10/04/2024;8:00:00 pm;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
64;2;10/04/2024;8:20:00 pm;20;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
65;2;10/04/2024;8:40:00 pm;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
66;2;10/04/2024;9:00:00 pm;22;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
67;2;10/04/2024;9:20:00 pm;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
68;2;10/04/2024;9:40:00 pm;24;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
69;2;10/04/2024;10:00:00 pm;49;RES; SIL; RES; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  DIS
70;2;10/04/2024;10:20:00 pm;50;DIS;SIL; RES; SIL;RUI ; SIL;RES ; SIL; RUI; SIL; DIS
71;2;10/04/2024;10:40:00 pm;51;RES; SIL; RES; SIL; DIS; SIL;RUI; SIL; RUI;SIL;DIS
72;3;11/04/2024;8:00:00 pm;29;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
73;3;11/04/2024;8:20:00 pm;27;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
74;3;11/04/2024;8:40:00 pm;28;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
75;3;11/04/2024;9:00:00 pm;54;DIS; SIL;DIS; SIL; RUI; SIL; RES; SIL; RUI ;  SIL; RES
76;3;11/04/2024;9:20:00 pm;26;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
77;3;11/04/2024;9:40:00 pm;25;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
78;3;11/04/2024;10:00:00 pm;30;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
79;3;11/04/2024;10:20:00 pm;53;RES; SIL; RUI; SIL;RES ; SIL;DIS; SIL; RUI;SIL;DIS
80;3;11/04/2024;10:40:00 pm;52;RUI; SIL; RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES
