SITIO;FECHA;HORA;playlist ;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11
3;8/04/2024;10:20:00 p. m.;38;RUI; SIL; RUI; SIL;DIS ; SIL;DIS; SIL; RES; SIL; RES
3;8/04/2024;10:40:00 p. m.;39;RES; SIL; RUI ; SIL ;RES; SIL; DIS; SIL; RUI; SIL; DIS
1;9/04/2024;8:00:00 p. m.;40;RUI; SIL; RUI; SIL;DIS ; SIL;DIS; SIL; RES; SIL; RES
1;9/04/2024;8:20:00 p. m.;41;RES; SIL; RUI ; SIL ;RES; SIL; DIS; SIL; RUI; SIL; DIS
1;9/04/2024;8:40:00 p. m.;42;DIS; SIL; RUI; SIL; RES; SIL; RES; SIL; DIS;  SIL; RUI
1;9/04/2024;9:00:00 p. m.;43;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
1;9/04/2024;9:20:00 p. m.;44;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
1;9/04/2024;9:40:00 p. m.;45;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
1;9/04/2024;10:00:00 p. m.;46;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
1;9/04/2024;10:20:00 p. m.;47;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
1;9/04/2024;10:40:00 p. m.;48;RUI; SIL; RES; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
2;10/04/2024;8:00:00 p. m.;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
2;10/04/2024;8:20:00 p. m.;20;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
2;10/04/2024;8:40:00 p. m.;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
2;10/04/2024;9:00:00 p. m.;22;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
2;10/04/2024;9:20:00 p. m.;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
2;10/04/2024;9:40:00 p. m.;24;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
2;10/04/2024;10:00:00 p. m.;49;RES; SIL; RES; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  DIS
2;10/04/2024;10:20:00 p. m.;50;DIS;SIL; RES; SIL;RUI ; SIL;RES ; SIL; RUI; SIL; DIS
2;10/04/2024;10:40:00 p. m.;51;RES; SIL; RES; SIL; DIS; SIL;RUI; SIL; RUI;SIL;DIS
3;11/04/2024;8:00:00 p. m.;29;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
3;11/04/2024;8:20:00 p. m.;27;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
3;11/04/2024;8:40:00 p. m.;28;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
3;11/04/2024;9:00:00 p. m.;54;DIS; SIL;DIS; SIL; RUI; SIL; RES; SIL; RUI ;  SIL; RES
3;11/04/2024;9:20:00 p. m.;26;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
3;11/04/2024;9:40:00 p. m.;25;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
3;11/04/2024;10:00:00 p. m.;30;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
3;11/04/2024;10:20:00 p. m.;53;RES; SIL; RUI; SIL;RES ; SIL;DIS; SIL; RUI;SIL;DIS
3;11/04/2024;10:40:00 p. m.;52;RUI; SIL; RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES
