;Audio;TIPO;Group_x;ID_leaf_x;PlaylistID;Response;Tratamiento_significado;Delta Time (s);SNR NIST Quick (dB);segmento;Global_Code_LINEABASE;Global_Code_PARENTESCO;Global_Code_ASOCIACION;parentesco;asociacion;riesgo
43;2;R*;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0652;39.43;L1;6;46;81;NP;NOAS;
44;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0601;24.95;L1;6;46;81;NP;NOAS;
45;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0743;14.28;L1;6;46;81;NP;NOAS;
46;2;O;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0282;25.03;L1;6;46;81;NP;NOAS;
47;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0978;29.59;L1;6;46;81;NP;NOAS;
48;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1465;44.01;L1;6;46;81;NP;NOAS;
49;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1373;42.75;L1;6;46;81;NP;NOAS;
50;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1168;41.11;L1;6;46;81;NP;NOAS;
51;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0969;36.63;L1;6;46;81;NP;NOAS;
52;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0832;37.83;L1;6;46;81;NP;NOAS;
53;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0808;35.66;L1;6;46;81;NP;NOAS;
54;2;O;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0385;24.95;L1;6;46;81;NP;NOAS;
55;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0973;35.77;L1;6;46;81;NP;NOAS;
56;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1275;46.43;L2;6;46;81;NP;NOAS;
57;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0998;41.39;L2;6;46;81;NP;NOAS;
58;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0866;39.65;L2;6;46;81;NP;NOAS;
59;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0869;32.65;L2;6;46;81;NP;NOAS;
60;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0847;30.94;L2;6;46;81;NP;NOAS;
61;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0642;27.97;L2;6;46;81;NP;NOAS;
62;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0527;24.41;L2;6;46;81;NP;NOAS;
63;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0595;41.44;L2;6;46;81;NP;NOAS;
64;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0554;43.21;L2;6;46;81;NP;NOAS;
65;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0489;40.31;L2;6;46;81;NP;NOAS;
66;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0582;32.03;L2;6;46;81;NP;NOAS;
67;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.0692;37.25;L2;6;46;81;NP;NOAS;
68;2;R;5;982126058484301;Gr5_4301_1;si;NP-NOAS;0.1342;35.55;L2;6;46;81;NP;NOAS;
